id	en	en_US	ja	es	fr	it	de	pl
"Sonic & Shahra's lines must end in ""_so"" & ""_sh"" respectively."	Localization from the original retail game.	Windii's Japanese-accurate translation.						Polish translation
								
								
secret_rings_title	Sonic and the Secret Rings		ソニックと秘密のリング					Sonic and the Secret Rings
								
system								
								
shader_cache_load	Loading Shader Cache							Wczytywanie pamięci podręcznej shaderów
shader_cache_finished	Finished Loading Shader Cache							Ukończono wczytywanie pamięci podręcznej shaderów
								
								
sys_select	Select							Wybierz
sys_cancel	Cancel							Anuluj
sys_retry	Retry							Spróbuj ponownie
sys_next	Next							Dalej
sys_return	Return							Powrót
sys_quit	Quit							Wyjdź
sys_quit_description	Quit the Game?							Wyjść z gry?
								
sys_pause	Pause		ポーズ					Pauza
sys_pause_continue	Continue		コンティニュー					Kontynuuj
sys_pause_restart	Restart		リスタート					Zrestartuj
sys_pause_status	Status		ステータス					Status
sys_pause_quit	Quit		やめる					Wyjdź
								
sys_world_locked	You cannot select this world yet.							Nie możesz jeszcze wybrać tego świata.
sys_mode_locked	Locked.							Zablokowane.
sys_mode_adventure	Take on the quest to save the\nfading world of the Arabian Nights!							Podejmij się wyprawy na ratunek zanikającego\nświata Baśni Tysiąca i Jednej Nocy!
sys_mode_party	Play with up to 4 of your friends\nin this full-scale minigame mode!							Zabaw się z (maksymalnie) czwórką znajomych\nw tym dopieszczonym trybie minigier!
sys_mode_book	You can view the pages\nyou've collected here.							Możesz tu poprzeglądaj\nwcześniej zdobyte strony.
sys_mode_option	Change the game's settings.							Zmień ustawienia gry.
								
sys_save_select	Please select the file\nyou would like to play.							Wybierz zapis, na ktorym chcesz grać.
								
								
								
sys_options	Options							Ustawienia
option_mute	MUTE							WYCISZ
option_enable	ENABLED							WŁĄCZONO
option_disable	DISABLED							WYŁĄCZONO
option_high	HIGH							WYSOKA
option_medium	MEDIUM							ŚREDNIA
option_low	LOW							NISKA
option_hard_shadows	Hard Shadows							Twarde Cienie
								
option_video	Video							Video
option_audio	Audio							Audio
option_lang	Language							Język
option_control	Controls							Sterowanie
								
								
option_target_display	Target Display							Docelowy wyświetlacz
option_display	Display 0							Wyświetlacz 0
option_window_size	Window Size							Rozmiar okna
option_fullscreen	Fullscreen							Pełny ekran
option_fullscreen_mode	Fullscreen Mode							Tryb pełnego ekranu
option_normal_fullscreen	Normal							Normalny
option_exclusive_fullscreen	Exclusive							Ekskluzywny
option_vsync	V-Sync							Synchronizacja pionowa
option_render_scale	Render Scale							Skala renderowania
option_resize_mode	Resize Mode							Tryb skalowania
option_antialiasing	Anti-Aliasing							Anti-Aliasing
option_post_processing	Post-Processing							Przetwarzanie końcowe
option_bloom	Bloom Quality							Jakość bloomu
option_shadow	Shadow Quality							Jakość cieni
option_reflection	Reflection Quality							Jakość odbić
								
								
								
option_main_vol	Main Volume							Głowna głośność
option_bgm_vol	Music Volume							Głośność muzyki
option_sfx_vol	SFX Volume							Głośność efektow specjalnych
option_voice_vol	Voice Volume							Głośność głosów
								
option_sub_toggle	Subtitles							Napisy
option_text_lang	Text Language							Język tekstu
option_voice_lang	Voice Language							Język głosów
								
option_controller_ui	Button Type							Typ przycisków
option_deadzone	Axis Dead Zone							Martwa strefa osi
option_mapping	Change Mapping							Zmień kontrolki
option_mapping_test	Test Controls							Przetestuj kontrolki
option_controller_ps	PlayStation							PlayStation
option_controller_xbox	Xbox							Xbox
option_controller_nintendo	Nintendo							Nintendo
option_controller_steam	Steam							Steam
option_awaiting_input	Awaiting Input...							Oczekiwanie na działanie...
								
								
move_up	Up		上					Góra
move_down	Down		下					Dół
move_left	Left		左					Lewo
move_right	Right		右					Prawo
button_jump	Jump		ジャンプ					Skok
button_action	Action		アクション 					Akcja
button_speedbreak	Speed Break		スピードブレイク 					Rozdarcie pędu
button_timebreak	Time Break		タイムブレイク 					Rozdarcie czasu
button_pause	Pause		ポーズ					Pauza
								
								
								
lang_local	English		日本語	Español	Français	Italiano	Deutsch	English
lang_en	English		英語					Angielski
lang_ja	Japanese		日本語					Japoński
lang_es	Spanish		スペイン語	Español				Hiszpański
lang_fr	French		フランス語 		Français			Francuski
lang_it	Italian		イタリア語 			Italiano		Włoski
lang_de	German		ドイツ語 				Deutsch	Niemiecki
								
								
								
								
								
								
mission_tutorial_01	Paragraph 01							Paragraf 01
mission_locked	??????							??????
mission_goal	Go for the Goal							Osiągnij cel
mission_special	Special Challenge							Wyzwanie pierwszej klasy
mission_deathless	Diehard Challenge							Wyzwanie na złamanie karku
mission_perfect	Perfect Challenge							Wyzwanie na picuś glancuś
mission_time	Beat the Clock							Walka z czasem
mission_enemy	Rampage							Rozróba
mission_enemyless	Stealth Attack							Skradanka
mission_race	Head to Head							Łeb w łeb
mission_ring	Collect Rings							Zbierz pierścienie
mission_ringless	Hands Off							Łapy precz
mission_ring_chain	Chain of Rings							Łańcuch pierścieni
mission_pearless	No Pearls							Żadnych pereł
mission_boss	Defeat the Boss							Pokonaj bossa
mission_last	Last Chapter							Ostatni rozdział
								
								
								
mission_description_locked	This mission is not available yet.							Ta misja nie jest jeszcze dost?pna.
mission_description_deathless	Don't Get Defeated!							Nie daj się pokonać
mission_description_perfect	Don't Take Any Damage!							Nie przyjmij żadnych obrażeń
mission_description_race	Beat Uhu to the Goal!							Pokonaj Uhu w wyścigu!
mission_description_ringless	Finish With 0 Rings!							Skończ z 0 pierścieniami!
mission_description_pearless	Don't Collect Any Pearls!							Nie zbierz żadnej perły!
mission_description_enemyless	Don't Defeat Any Enemies!							Nie pokonaj  żadnego przeciwnika!
								
mission_description_enemy_1	Defeat 1 Enemy!							Pokonaj 1 przeciwnika!
mission_description_enemy_10	Defeat 10 Enemies!							Pokonaj 10 przeciwników!
mission_description_enemy_15	Defeat 15 Enemies!							Pokonaj 15 przeciwników!
mission_description_enemy_20	Defeat 20 Enemies!							Pokonaj 20 przeciwników!
mission_description_enemy_40	Defeat 40 Enemies!							Pokonaj 40 przeciwników!
								
mission_description_ring_10	Collect 10 Rings!							Zbierz 10 pierścieni!
mission_description_ring_50	Collect 50 Rings!							Zbierz 50 pierścieni!
mission_description_ring_80	Collect 80 Rings!							Zbierz 80 pierścieni!
mission_description_ring_99	Collect 99 Rings!							Zbierz 99 pierścieni!
mission_description_ring_100	Collect 100 Rings!							Zbierz 100 pierścieni!
								
mission_description_ring_chain_30	Get a 30 Ring Combo!							Zgarnij kombo 30 pierścieni!
mission_description_ring_chain_50	Get a 50 Ring Combo!							Zgarnij kombo 50 pierścieni!
mission_description_ring_chain_60	Get a 60 Ring Combo!							Zgarnij kombo 60 pierścieni!
mission_description_ring_chain_100	Get a 100 Ring Combo!							Zgarnij kombo 100 pierścieni!
								
mission_description_time_45	Finish Within 45 Seconds!							Ukończ w 45 sekund!
mission_description_time_90	Finish Within 90 Seconds!							Ukończ w 90 sekund!
mission_description_time_100	Finish Within 100 Seconds!							Ukończ w 100 sekund!
mission_description_time_120	Finish Within 120 Seconds!							Ukończ w 120 sekund!
								
								
mission_description_so_main	Find King Shahryar!							Znajdź Króla Szahrijara!
mission_description_so_jar	Break 5 Jars!							Zniszcz 5 dzbankow!
mission_description_so_jarless	Don't Break Any Jars!							Nie stłucz Żadnego dzbanka!
mission_description_so_boss	Battle! Sand Scorpion!							Bitwa! Piaskoskorpion!
								
mission_description_dj_main	Follow the Pterosaur!							Podążaj za pterozaurem!
mission_description_dj_genie_eggs	Smash 5 Genie Eggs!							Rozbij 5 jaj dżinna!
mission_description_dj_dino_eggs	Restore the Pterosaur Eggs!							Odzyskaj jaja pterozaura!
								
mission_description_ef_main	Head to the Center!							Udaj się do centrum!
mission_description_ef_time	Find the Exit in Time!							Znajdź wyjście w porę!
mission_description_ef_boss	Battle! Ifrit Golem!							Walka! Golem Ifrita!
								
mission_description_lr_main	Find Sinbad!							Znajdź Sindbada!
mission_description_lr_cage	Open Sinbad's Cage!							Otwórz klatkę Sindbada!
								
mission_description_ps_main	Follow the Pirates!							Podążaj za piratami!
mission_description_ps_boss	Battle! Captain Bemoth!							Walka! Kapitan Bemoth!
								
mission_description_sd_main	Find King Solomon!							Znajdź Króla Salomona!
mission_description_sd_bones	Find the King's Bones!							Znajdź Królewskie Truchło!
								
mission_description_np_main	Sneak Into the Palace!							Zakradnij się do pałacu!
mission_description_np_boss	Battle! Erazor Djinn!							Walka! Dżinn Erazor!
mission_description_np_last	It's the Final Battle!							Czas na Bitwę Ostateczną!
								
								
								
lost_prologue	Lost Prologue							Zaginiony Prolog
lost_prologue_description	The beginning of the end.							Początek końca.
								
sand_oasis	Sand Oasis							Piaszczysta Oaza
sand_oasis_description	A desert strewn about with ruins.							Pustynia usłana ruinami.
oas_opening_so	First, let's find the king's palace.		まずは王宮を目指すんだよな					Wpierw, znajdźmy pałac króla.
oas_opening_sh	Yes, let's hurry!		そう　急ぎましょ!					Tak jest, ale już!
oas_pillar_sh	That pillar is being manipulated by magic! Look out!							Ten filar jest manipulowany przez magię! Uważaj!
oas_uturn_sh	It's a dead end!							To ślepy zaułek!
oas_uturn_so	Whoops! Time to make a U-turn!							Ups! Czas na mały U-nik!
oas_interior_sh	It should be cooler inside.							W środku powinno był chłodniej.
oas_interior_so	Um...Doesn't quite look like it.							Um... No tak średnio bym powiedział.
oas_sandfall_event_sh	Huh? What?							Huh? Co?
oas_sandfall_event_so	Woah!							Woah!
oas_sandfall_event2_so	Ha!							Ha!
oas_sandfall_event3_so	Whew! That was a close one!							Uff! Mało brakowało!
oas_pier_sh	Just past that pier is the town.							Tuż za molo znajduje się miasto.
oas_town_so	A town! The king's palace must be close!							Miasto! Pałac krola musi być blisko!
oas_palace_so	There it is! I see it!							Tam jest! Widzę go!
oas_palace_sh	That's the king's palace!							To pałac krola!
oas_return_sh	Are you ready?							Jesteś gotów?
oas_return_so	Shara!\nLet me show you just how fast I am!							Shahra!\nNiech no ci pokażę, jakie mam osiągi!
								
								
oas_boss_intro_so	Aha, he seems pretty tough.\nAll right, let's do this!							Aha, twardy orzech do zgryzienia.\nNo dobra, do dzieła!
oas_boss_start_so	I don't suppose you'd listen if I asked you to stay away, huh?							Podejrzewam, że nie jesteś zainteresowany trzymaniem się z daleka, co?
oas_boss_start_sh	I don't think asking it nicely will make it stay back.							Zdaje się, że nici z uprzejmych próśb.
oas_boss_hint1_sh	Watch out for its tail attack!							Uważaj na jego ogon!
oas_boss_hint2_sh	The big eyeball on its back seems to be its weak point!							Ta wielka gałka oczna na jego plecach chyba jest jego słabym punktem!
oas_boss_hint3_sh	Try using the scorpion's tail to reach the eye on its back!							Sprobuj użyć ogona skorpiona, aby dostać się do oka na jego plecach!
oas_boss_hint4_sh	That huge eye just has to be its weak point.							To ogromne oko jak nic jest jego słabym punktem.
oas_boss_hit1_sh	Look, it's working!							Spójrz, to działa!
oas_boss_hit1_so	That's it! The eye is its weak point!							To jest to! Oko jest jego słabym punktem!
oas_boss_hit2_so	This guy just doesn't give up!							Zawzięty się trafił!
oas_boss_hit3_so	Looks like he can't take much more of this!							Chyba już dłużej nie pociągnie!
oas_boss_hit4_sh	Just one more hit!							Jeszcze jeden cios!
oas_boss_defeat_so	Sorry, but you were in my way.							Sorki, ale wszedłeś mi w drogę.
								
oas_idle_heat_so	It's so hot! Even my quills are sweating!							Ale lampa! Mokro mam pod kolcami!
oas_idle_shoes_so	Man, I've got sand in my shoes!							Kurde, piach mi naleciał do butów!
oas_idle_beach_sh	The beach is so...							Ta plaża jest taka...
oas_idle_sandfall_so	A waterfall? Made of sand?							Wodospad? W wydaniu piaskowym?
oas_idle_sandfall_sh	Stay clear. This is no time for a sand bath!							Ostrożnie. To nie czas na kąpiel błotną!
								
								
								
								
								
dinosaur_jungle	Dinosaur Jungle							Dżungla dinozaurów
dinosaur_jungle_description	A forest dominated by ancient beasts.							Las opanowany przez pradawne bestie.
din_event_trio_so	Whoa! Something's after us!							Whoa! Co? nam siedzi na ogonie!
din_event_trio_sh	They're triceratops!\nAnd they're very angry!							To triceratopsy!\nI do tego są bardzo wściekłe!
din_event_trio2_so	Wh-what did I do?							C-Co ja im zrobiłem?
din_event_trio2_sh	I don't know! Just run!							Nie wiem! Po prostu biegnij!
din_event_trio3_so	They just don't give up!							No nie dadzą za wygraną!
din_event_trio3_sh	If we can just get across the bridge\nup ahead, we should be okay!							Jeśli zdołamy się przedostać przez\nmost, to powinno być już dobrze!
								
din_tutorial_trio_so	I hope those guys don't stick their\nhorns through me!							Oby nie przebili mnie na wylot\ntymi swoimi rogami!
din_tutorial_trio_sh	Don't let them rush you\nwith their horns!							Nie dawaj sie tak\nsobą pomiatać!
								
din_event_river_so	Uwaaah!\nNooooo!!							Uwaaah!\nNieeee!!
din_event_river_sh	Sonic!							Sonic!
din_event_river2_so	Whew! That was a close one!							Uff! O mały włos!
din_event_river2_sh	Sonic, can't you swim?							Sonic, nie umiesz pływać?
								
din_split_sh	The road splits in two, here.							Droga nam się tutaj rozwidla.
din_split_so	Any advice on which way to go?							Wiesz coś nie coś gdzie pójść?
								
din_event_apato_so	Oops!							Ups!
din_event_apato2_so	Woah! Thanks!							Woah! Dzięki!
								
								
								
evil_foundry	Evil Foundry							Złowroga Odlewnia
evil_foundry_description	Infiltrate a fortress of flames.							Zinfiltruj twierdzę płomieni.
								
levitated_ruin	Levitated Ruin							Lewitujące Ruiny
levitated_ruin_description	A floating hall of the dead.							Fruwająca sala umarłych.
								
								
								
pirate_storm	Pirate Storm							Piracki Sztorm
pirate_storm_description	Bandits roam through the tempest.							Bandyci grasują wśrod nawałnic.
								
								
								
								
skeleton_dome	Skeleton Dome							Kraśna Kostnica
skeleton_dome_description	A royal chamber hidden underground.							Królewska komnata ukryta w podziemiach.
								
								
								
night_palace	Night Palace							Nocny Pałac
night_palace_description	Drifting across a dark, starry sky.							Dryfując po ciemnym, rozgwieżdżonym niebie.
nig_opening_sh	So, this is where Erazor is...							Więc to tutaj się ukrywa Erazor...
nig_opening_sh	Don't worry. We'll get him in no time!							Bez obaw. Złapiemy go w mgnieniu oka!
nig_footing_so	This is about to come crumbling down!							To wszystko się zaraz obróci w gruzy!
nig_footing_sh	Hurry!							Migiem!
nig_footing2_sh	Hurry! Before it breaks!							Migiem! Zanim się zawali!
nig_footing2_so	I know, I know!							No wiem, no wiem!
nig_trap_sh	It's a trap! What do we do?							To pułapka! Co robimy?
nig_trap_so	We just have to face it!							Teraz to musimy temu stawić czoła!
nig_enemy_so	Well, guess it's time to rumble!							Cóż, chyba pora rozkręcić imprezę!
nig_enemy_sh	Now of all times is when\nwe should stay on guard.							Powinniśmy mieć się na baczności\njak jeszcze nigdy dotąd.
								
								
								
nig_boss_intro_so	I've been waiting to finish things with you for a long time!							Od dawna już chciałem sprowadzić cię do parteru!
nig_boss_intro_er	You filthy rat! I'll shut that mouth of yours permanently.							Ty przebrzydły szczurze! Zamknę ci tę jadaczkę na po wsze czasy.
nig_boss_grunt_er	Hmmph!							Hmmf!
nig_boss_warn_er	Take this!							Udław się!
nig_boss_warn_sh	Watch the way that Erazor swings his sword!							Zważ na to, w jaki sposób Erazor wymachuje mieczem!
nig_boss_duel_er	Come, Sonic! And face me!							Dalej, Soniku! Do nogi!
nig_boss_duel_alt_er	Come, you filthy rat! And face me!							Dalej, ty przebrzydły szczurze! Do nogi!
nig_boss_duel_sh	Sonic, look out! You can't just rush him head on!	Be careful, Sonic! You can't just get away with that!						Sonic, pilnuj się! Nie możesz tak po prostu się na niego rzucać!
nig_boss_duel_so	You want it, you got it!							Chcesz, to masz!
nig_boss_duel_final_so	Time to finish you off once and for all!							Czas to zakończyć raz na zawsze!
nig_boss_duel_hint1	(Better time your attack when he comes around.)							(Lepiej wyczuj moment ataku, gdy się trochę przybliży).
nig_boss_duel_hint2	(Slow down!)							(Zwolnij!)
nig_boss_duel_hint3	(It's one-on-one! Be ready to jump!)							(Teraz albo nigdy! Bądź gotów do skoku!)
nig_boss_hit1_so	Aha! It's working! Now I just have to keep that up!							Aha! To działa! Teraz muszę cisnąć tak dalej!
nig_boss_hit1_er	Ha! Insolent pest! Your feeble attacks cannot harm me!							Ha! Bezczelny szkodniku! Twoje marne ataki nic mi nie zrobią!
nig_boss_hit2_so	What's wrong, Erazor? You don't look so good!							Co tam, Erazorze? Złość piękności szkodzi!
nig_boss_hit2_er	Enjoy your moment of pride, rat. It shall be your last!							Ciesz się chwilą chluby, szczurku. Będzie ona twą ostatnią!
nig_boss_win_er	N...No...This isn't...Possible...							N...Nie...To nie...Możliwe...
nig_boss_win_so	All right, Erazor! Give up, you've lost!							Dobra, Erazor! Poddaj się, przegrałeś!
								
								
								
skill_pearl_collector	Pearl Collector							Kolekcjoner Pereł
skill_pearl_collector_description	Attracts nearby Pearls.							Przyciąga pobliskie Perły.
skill_ring_bonus	Ring Bonus							Bonusowe Pierścienie
skill_ring_bonus_description	Grants additional rings when starting a stage.							Przyznaje dodatkowe pierścienie wraz z rozpoczęciem etapu.
skill_power_restart	Power Restart							Mocny Restart
skill_power_restart_description	Grants additional rings when respawning.							Przyznaje dodatkowe pierścienie po odrodzeniu się.
skill_ring_saver	Ring Saver							Ciułacz Pierścieni
skill_ring_saver_description	Reduces the number of rings lost when damage is taken.							Zmniejsza liczbę pierścieni utraconych po otrzymaniu obrażeń.
								
								
								
								
								
bonus_ring	Ring Bonus							Bonus za pierścienie
bonus_enemy	Enemy Bonus							Bonus za ofensywność
bonus_drift	Drift Bonus							Bonus za drift
bonus_grindstep	Grind Step Bonus							Bonus za grindowanie
bonus_grind_shuffle	Grind Shuffle Bonus							Bonus za szalony grind
								
								
								
								
								
								
								
								
								
								
								
event01_name	The World of the Book							Świat Książki
event01_1	ZZZ...							ZZZ...
event01_2	Um...							Um...
event01_3	ZZZ...							ZZZ...
event01_4	Hmph!	Come on...						Hmf! No weź...
event01_5	Hey, wake up!							Hej, pobudka!
event01_6	Yaaaaawwn! Boy, is it that late\nalready? What time is it?	Yaaaaawwn! It's so late already, huh.\nWhat time is it now?						Zieeeeeew! Kurka rurka, już tak\npóźno? Która to godzina?
event01_7	Huh?	Hm?						Huh?
event01_8	You are the blue hedgehog.	You must be the blue hedgehog.						To ty jesteś niebieskim jeżem.
event01_9	Ahh...What the...!	WHOA!						Ahh...Co do...!
event01_10	Do not be alarmed!\nI am Shahra, the Genie of the Ring.	Don't be so alarmed!\nI am Shahra, the Genie of the Ring.						Nie lękaj się!\nJestem Shahra, Dżinn Pierścienia.
event01_11	"...You know,\nlike ""Aladdin and the Magic Lamp""...?"							...No wiesz,\njak masz Aladyna i Magiczną Lampę...?
event01_12	Don't think I've read that.	Haven't read that yet.						Nie wydaje mi się, żebym to czytał. Tego to jeszcze nie czytałem.
event01_13	What?\nYou've got to be kidding me!	Eh...? Will this be okay, I wonder...						Co?\nChyba sobie żartujesz!
event01_14	It's the best story of all the Arabian\nNights! Or, at least the second best...	Of all the stories from the Arabian Nights,\nit's one of the most interesting...						To najlepsza historia z Baśni\nTysiąca i Jeden Nocy! Ewentualnie druga najlepsza...
event01_15	...But that's besides the point.\nPlease, look at this!	...Anyway, that explanation can wait.\nPlease take a look at this!						...Ale to nie ma znaczenia.\nProszę, spójrz na to!
event01_16	Hey, the page is blank!	The pages are blank?!						Hej, ta strona jest pusta!
event01_17	Our world...							Nasz Świat...
event01_18	...The world of the Arabian Nights is vanishing.							...Świat Tysiąca i Jednej Nocy zanika.
event01_19	Vanishing? But how?	Vanishing? Why?						Zanika? Ale jak? Zanika? Czemu?
event01_20	This is the work of an incredibly\nevil spirit...The Erazor Djinn.	That is the work of an evil genie, Erazor Djinn...						To sprawka niewyobrażalnie\nzłej duszy... Dżinna Erazora.
event01_21	Erazor...Djinn?							Dżinn...Erazor?
event01_22	Yes.							Ta.
event01_23	He used his evil magic to become even\nmore powerful.	He is a genie that possesses incredibly strong magic.						Użył swojej złej magii, aby stać się jeszcze\nbardziej potężnym.
event01_24	He could not bear to simply\nremain in the book any longer.	Because of that, he did not know what to do with his power,						Nie mógł już dłużej\nwytrzymać w tej książce.
event01_25	And so he has begun to\nset the inscriptions free,	And could no longer stand to remain within the book.						I tak zaczął\nuwalniać inskrypcje,
event01_26	Absorbing the power of\nthe book itself.	He has begun harvesting the book's pages\nand absorbing its power.						Pochłaniając moc\nsamej książki.
event01_27	The power of the book?	Absorbing the book's power...						Moc książki?
event01_28	If our world ceases to exist,	If our world disappears,						Jeśli nasz świat przestanie istnieć,
event01_29	Then not only will those stories be silenced forever,	Then not only will all these stories become unreadable,						Wtedy nie tylko te historie zostaną zapomniane na zawsze,
event01_30	But the Erazor Djinn will then be\nunleashed into your world.	But with the power he absorbs,\nit's possible he will enter your world as well.						Ale wtedy Dżinn Erazor\nprzeniknie do twojego świata.
event01_31	That definitely sounds like trouble.\nBut, what do you want me to do?	That definitely does sound like trouble.\nSo? What do you want from me?						Nie brzmi to za dobrze.\nAle, co chcesz, żebym zrobił?
event01_32	I want you to stop him...	I want you...						Chcę, żebyś go powstrzymał...
event01_33	You mush stop the Erazor Djinn.	...To stop the Erazor Djinn.						Musisz powstrzymać Dżinna Erazora.
event01_34	Only you, the blue hedgehog, can do it.	Only you, the blue hedgehog,\nare capable of doing that.						Tylko ty, niebieski jeżu, możesz to zrobić.
event01_35	Hmm.							Hmm.
event01_36	So this guy needs someone\nto put him in his place, does he?	So you want me to play around\nwith this selfish kiddo for a while, huh.						Więc ten gość prosi się o kogoś kto\nzaprowadzi go z powrotem do domu, co nie?
event01_37	I suppose I can help out with that.\nIt might even be fun.	I do want to help,\nbut at the end of the day,						W sumie to mogę pomóc.\nMoże być nawet zabawnie.
event01_38	But... this is all just something\nout of a storybook, right?	This is all happening in a book, right?						Ale... to wszystko dzieje\ndzieje się w bajce, prawda?
event01_39	How am I supposed to do anything\nabout that?	What should we do?						Jak miałbym coś\nz tym zrobić?
event01_40	That's easy.							Prościzna.
event01_41	You are my master, having called\nforth the Genie of the Ring.	As the Genie of the Ring, those\nwho summon me become my master,						Jesteś moim panem, ponieważ\nprzywołałeś mnie, Dżinna Pierścieni.
event01_42	As such,\nI am able to grant your wishes.	And I can grant wishes to that person.						W związku z tym,\njestem w stanie spełnić twoje życzenia.
event01_43	Simple wishes, at any rate.	Though I can only handle simple wishes...						W każdym bądź razie proste życzenia.
event01_44	Bringing you into the world of the\nArabian Nights is within my power.	Taking you into the world of\nthe Arabian Nights is doable.						Przeniesienie cię do świata\nTysiąca i Jednej Nocy” jest w zakresie moich możliwości.
event01_45	What?! Inside that book?	Huh?! Inside the book?						Co?! Że tak do wnętrza tej książki?
event01_46	Now please,\nplace the ring on your finger!	Now, please put this ring on your finger!						Teraz proszę,\nzałóż ten pierścień na na swój palec!
event01_47	Like this?	...Like this?						Że tak?
event01_48	OUCH!\nHey, take it easy!	OUCH!\nOw-ow-ow...						AUĆ!\nHej, spokojnie!
event01_49	My apologies, O Master,\nbut now the contract has been sealed.	I am sorry, my Master.\nThe contract is now sealed.						Moje kondolencje, O Panie,\nale umowa została już przypieczętowana.
event01_50	Contract?							Umowa?
event01_51	Yes. As Master of the Ring,\nI am now bound to protect you.							Tak. Jako Władczyni Pierścienia,\njestem zobowiązana by Cię chronić.
event01_52	Now, rub the ring!	Now, please rub the ring.						A teraz, okręć pierścień!
event01_53	Like...Like this?	Will this do?						Że...Że tak?
event01_54	"""O Master of the ring, what is thy wish?"""	What do you wish for, O Master? I am at your command.						O panie pierścienia, jakie jest twe życzenie?
event01_55	Achoo!\nAchoo!							Aciuu!\nAciuu!
event01_56	How about a handkerchief for starters!\nMake that a few!	Give me some handkerchiefs!\nLots of them.						To może na dobry start poratujesz chusteczką?\nNawet kilkoma!
event01_57	Thanks! You're a lifesaver! You see,\nI caught this cold yesterday, and...	Oh man, you're a real lifesaver!\nI actually had this cold since yesterday, so...						Dzięki! Ratujesz mi życie! Wiesz jak jest,\ncoś mnie wczoraj złapało, i...
event01_58	Please, be serious!!	Please take this seriously!!						Proszę, zachowaj powagę!!!
event01_59	Okay, okay.\nThanks for the hankies, though.	Yeah, I know.\nI only asked for some hankies, right?						Okej, okej.\nAle i tak, dzięki za chusteczki.
event01_60	Oh please, someone tell me that\nthis isn't really happening...	Oh, goodness...Will this really be alright...						Błagam, niech mi ktoś powie, że\nto nie dzieje się naprawdę...
event01_61	Alright, let's go!	Now, let's go.						W porządku, do dzieła!
event01_62	Take me to this world of\nthe Arabian Nights!	Take me to the world of\nthe Arabian Nights!						Zabierz mnie do świata\nTysiąca i Jednej Nocy!
event01_63	As you wish, Master!	Understood, Master!						Jak sobie życzysz, Panie!
event01_64	Quit it, will you!	Cut that out!						Ejże, no co ty!
event01_65	My name's Sonic.\nSonic the Hedgehog!	I'm Sonic!\nSonic the Hedgehog.						Nazywam się Sonic.\nJeż Sonic!
event01_66	Very well then, Sonic.	Understood, Sonic.						Niech będzie, Soniku.
event01_67	...The legendary hedgehog.							...Legendarny jeżu.
event01_68	Here we go!\nInto the world of the Arabian Nights!	Now let us go!\nTo the world of the Arabian Nights!						Lecimy!\nDo świata Tysiąca i Jednej Nocy!
event01_69	OK!	OK.						OK!
event01_70	Now THIS is first-class!	I'm countin' on ya for first-class transportation!						TO dopiero pierwsza klasa!
event01_71	Here we go!!	Here we go!						No to jazda!!
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
event02_name	Erazor Appears							
event02_1								
event02_2								
event02_3								
event02_4								
event02_5								
event02_6								
event02_7								
event02_8								
event02_9								
event02_10								
event02_11								
event02_12								
event02_13								
event02_14								
event02_15								
event02_16								
event02_17								
event02_18								
event02_19								
event02_20								
event02_21								
event02_22								
event02_23								
event02_24								
event02_25								
event02_26								
event02_27								
event02_28								
event02_29								
event02_30								
event02_31								
event02_32								
event02_33								
